organization organization_new
"klinikum johannes gutenberg univ" "klinikum johannes gutenberg univ"
"univ gh paderborn" "gh paderborn univ"
"heinrich heine univ hosp duesseldorf" "dusseldorf univ"
"univ hohenheim" "hohenheim univ"
"univ potsdam" "potsdam univ"
"univ appl sci muenster" "appl sci muenster univ"
"tech univ dortmund" "tech dortmund univ"
"univ regensburg" "regensburg univ"
"rhein freidrich wilhelms univ bonn" "bonn univ"
"univ heidelberg zah" "heidelberg zah univ"
"univ koblenz landau" "koblenz landau univ"
"univ klinikums dusseldorf" "dusseldorf univ"
"klinikums albert ludwigs univ freiburg br" "freiburg klinikum univ"
"univ klinikum gottingen" "med gottingen univ"
"univ saarlandes kliniken" "saarland univ"
"univ med mainz" "med mainz univ"
"univ klinikum wurzburg" "klinikum wurzburg univ"
"otto vonguericke univ magdegurg" "otto vonguericke magdegurg univ"
"tech univ ilmenau" "tech ilmenau univ"
"martin luther univ halle saale" "martin luther halle saale univ"
"fb med philipps univ" "fb med philipps univ"
"bond univ" "bond univ"
"univ breast ctr" "breast ctr univ"
"univ hosp erlangen" "hosp erlangen univ"
"lausitz univ appl sci" "lausitz appl sci univ"
"lehrabt paracelsus med univ salzburg" "lehrabt paracelsus med salzburg univ"
"univ magdeburg" "magdeburg univ"
"psychiat univ klin erlangen" "psychiat klin erlangen univ"
"univ paderborn" "paderborn univ"
"tech univ" "tech univ"
"charite univ med ctr" "med berlin univ"
"charite univ med ctr berlin" "med berlin univ"
"univ med ctr hamburg eppendorf" "med ctr hamburg eppendorf univ"
"univ cooperat educ" "cooperat educ univ"
"univ bochum" "bochum univ"
"univ appl sci tfh" "appl sci tfh univ"
"univ appl sci" "appl sci univ"
"tech berlin univ appl sci" "tech berlin appl sci univ"
"univ hosp bochum" "hosp bochum univ"
"univ tubingen hosp" "tubingen hosp univ"
"bergmannsheil univ hosp" "bergmannsheil hosp univ"
"inst ruhr univ bochum" "inst ruhr bochum univ"
"bielefeld & munster univ" "bielefeld munster univ"
"univ konstanz" "konstanz univ"
"bavarian julius maximilians univ wurzburg" "wurzburg univ"
"univ munich lmu" "munich lmu univ"
"ema univ greifswald" "ema greifswald univ"
"univ hosp jena" "jena univ"
"paracelsus univ salzburg" "paracelsus salzburg univ"
"univ dresden" "dresden univ"
"univ planegg martinsried" "planegg martinsried univ"
"julius maximilians univ wurzburg" "julius maximilians wurzburg univ"
"private univ witten herdecke" "private witten herdecke univ"
"ze freie univ berlin" "free berlin univ"
"univ hosp hamburg eppendorf" "hosp hamburg eppendorf univ"
"univ hosp kiel" "hosp kiel univ"
"univ hosp schleswig holstein" "hosp kiel univ"
"jacobs univ" "jacobs univ"
"univ hosp" "hosp univ"
"georg august univ goettingen" "gottingen univ"
"univ hosp rwth" "hosp rwth univ"
"rwth aachen univ hosp" "rwth aachen hosp univ"
"univ augsburg" "augsburg univ"
"dusseldorf univ hosp" "dusseldorf univ"
"univ hosp munich" "hosp munich univ"
"charite med univ berlin" "charite med berlin univ"
"charite med univ ctr" "charite med ctr univ"
"charite univ med berlin bcrt" "charite med berlin bcrt univ"
"univ hosp mannheim" "hosp mannheim univ"
"univ clin schleswig holstein" "clin schleswig holstein univ"
"univ med ctr freiburg" "med ctr freiburg univ"
"schleswig holstein univ hosp" "schleswig holstein hosp univ"
"univ tecn brandenburgo cottbus" "tecn brandenburgo cottbus univ"
"hosp ruhr univ" "hosp ruhr univ"
"univ appl sci stralsund" "appl sci stralsund univ"
"tech univ hamburg" "tech hamburg univ"
"univ aachen" "aachen univ"
"univ clin essen" "clin essen univ"
"univ hosp duesseldorf" "hosp duesseldorf univ"
"univ clin ctr charite berlin" "clin ctr charite berlin univ"
"charite med univ hosp" "charite med hosp univ"
"univ hosp saarland" "hosp saarland univ"
"univ clin wuerzburg" "clin wuerzburg univ"
"univ gesamthsch paderborn" "paderborn univ"
"univ bw munich" "bw munich univ"
"brandenburg univ technol btu" "brandenburg technol btu univ"
"bauhaus univ weimar" "bauhaus weimar univ"
"univ mannheim" "mannheim univ"
"univ passau" "passau univ"
"univ hagen" "hagen univ"
"univ wuppertal" "wuppertal univ"
"rwth univ" "rwth univ"
"hosp goethe univ" "hosp goethe univ"
"univ constance" "constance univ"
"univ appl sci aachen" "appl sci aachen univ"
"univ vechta" "vechta univ"
"dortmund univ technol" "dortmund technol univ"
"univ witten herdecke" "witten herdecke univ"
"univ magdeburg otto von guericke" "magdeburg univ"
"catholic univ eichstatt ingolstadt" "catholic eichstatt ingolstadt univ"
"univ berlin" "berlin univ"
"berlin univ technol" "tech berlin univ"
"friedrich alexander univ erlangen nuremberg" "erlangen nurnberg univ"
"univ hosp wurzburg" "hosp wurzburg univ"
"free & humboldt univ" "free berlin univ"
"med univ berlin" "med berlin univ"
"univ med" "med univ"
"univ med ctr" "med ctr univ"
"hosp univ berlin" "hosp berlin univ"
"humboldt & freie univ berlin" "humboldt freie berlin univ"
"free & humboldt univ berlin" "free humboldt berlin univ"
"campus benjamin franklin univ hosp" "hosp univ"
"univ hosp benjamin franklin" "hosp benjamin franklin univ"
"humboldt univ med" "humboldt med univ"
"med univ hosp" "med hosp univ"
"univ hosp berlin" "hosp berlin univ"
"univ med sch berlin" "med sch berlin univ"
"univ hosp rwth aachen" "hosp rwth aachen univ"
"datteln witten herdecke univ" "datteln witten herdecke univ"
"univ giessen marburg" "giessen marburg univ"
"nurnberg univ" "nurnberg univ"
"goethe univ" "goethe univ"
"univ klinikum mannheim" "med mannheim univ"
"univ klinikum albert ludwigs univ" "klinikum albert ludwigs univ"
"univ kliniken koln" "kliniken koln univ"
"univ hosp cologne" "cologne univ"
"univ hosp dresden" "hosp dresden univ"
"univ essen gesamthsch" "essen gesamthsch univ"
"univ hosp regensburg" "hosp regensburg univ"
"univ hosp essen" "hosp essen univ"
"univ hosp munster" "hosp munster univ"
"univ hosp frankfurt" "hosp frankfurt univ"
"univ hosp bonn" "hosp bonn univ"
"jw goethe univ hosp frankfurt" "hosp frankfurt univ"
"univ clin munich" "clin munich univ"
"univ hosp frankfurt main" "hosp frankfurt main univ"
"jw goethe univ hosp" "jw goethe hosp univ"
"johann wolfgang goethe univ hosp frankfurt" "jw goethe hosp frankfurt univ"
"univ schleswig holstein" "schleswig holstein univ"
"univ vet med" "vet med univ"
"univ vet med hanover" "vet med univ"
"univ clin hamburg" "clin hamburg univ"
"univ clin mainz" "clin mainz univ"
"univ clin rostock" "clin rostock univ"
"univ aachen aalz" "aachen aalz univ"
"univ teaching hosp" "teaching hosp univ"
"carl gustav carus univ hosp" "carl gustav carus hosp univ"
"johannes gutenberg univ hosp" "hosp mainz univ"
"univ hosp mainz" "hosp mainz univ"
